@relation occupancy_detection_training_dataset

@attribute Temperature numeric
@attribute Humidity numeric
@attribute Light numeric
@attribute CO2 numeric
@attribute HumidityRatio numeric
@attribute Occupancy {Y,N}

@data
22.39,27.46,0,624.67,0.004599,N
22.39,27.39,0,622,0.004587,N
22.29,27.39,0,621,0.004559,N
22.34,27.39,0,626.5,0.004573,N
22.29,27.39,0,622,0.004559,N
22.39,27.39,0,620,0.004587,N
22.29,27.39,0,621.5,0.004559,N
22.29,27.36,0,616.33,0.004553,N
22.29,27.34,0,609,0.004551,N
22.29,27.39,0,614,0.004559,N
22.29,27.34,0,613.5,0.004551,N
22.29,27.34,0,611,0.004551,N
22.29,27.39,0,612,0.004559,N
22.29,27.29,0,608,0.004542,N
22.29,27.29,0,605.5,0.004542,N
22.27,27.32,0,608.5,0.00454,N
22.2,27.29,0,608.5,0.004517,N
22.25,27.29,0,602.5,0.00453,N
22.2,27.29,0,598,0.004517,N
22.2,27.29,0,595,0.004517,N
22.2,27.29,0,591,0.004517,N
22.25,27.25,0,591,0.004522,N
22.2,27.2,0,595,0.004502,N
22.2,27.29,0,594.33,0.004517,N
22.2,27.29,0,593.5,0.004517,N
22.2,27.29,0,592,0.004517,N
22.15,27.25,0,586.5,0.004496,N
22.2,27.2,0,586,0.004502,N
22.15,27.25,0,586,0.004496,N
22.2,27.25,0,584.5,0.00451,N
22.1,27.25,0,584.5,0.004482,N
22.1,27.2,0,585.5,0.004475,N
22.13,27.2,0,584.67,0.004484,N
22.2,27.2,0,577,0.004502,N
22.1,27.2,0,580,0.004475,N
22.13,27.2,0,582,0.004482,N
22.2,27.2,0,580,0.004502,N
22.1,27.15,0,578,0.004466,N
22.1,27.2,0,576.5,0.004475,N
22.1,27.2,0,580,0.004475,N
22.1,27.2,0,572.5,0.004475,N
22.1,27.2,0,567,0.004475,N
22.1,27.2,0,568,0.004475,N
22.1,27.2,0,574.5,0.004475,N
22.1,27.2,0,564.33,0.004475,N
22.1,27.2,0,563,0.004475,N
22.1,27.15,0,564.5,0.004466,N
22.07,27.17,0,566.33,0.00446,N
22.1,27.1,0,562,0.004458,N
22,27.1,0,565.5,0.004431,N
22,27.1,0,570,0.004431,N
22.05,27.15,0,562,0.004453,N
22,27.1,0,560,0.004431,N
22,27.1,0,558,0.004431,N
22,27.1,0,556,0.004431,N
22,27.1,0,557,0.004431,N
21.92,27.1,0,556.5,0.004408,N
21.95,27.1,0,557.5,0.004416,N
21.93,27.1,0,555,0.004411,N
21.89,27.1,0,555,0.004401,N
21.89,27.1,0,553,0.004401,N
21.89,27.1,0,549.5,0.004401,N
21.89,27.1,0,548.5,0.004401,N
21.89,27.1,0,551.5,0.004401,N
21.89,27.1,0,548.5,0.004401,N
21.89,27.1,0,548,0.004401,N
21.89,27.1,0,547.5,0.004401,N
21.89,27.1,0,553,0.004401,N
21.84,27.1,0,547.5,0.004388,N
21.86,27.1,0,548.67,0.004392,N
21.79,27.1,0,540,0.004374,N
21.79,27.1,0,538,0.004374,N
21.79,27.1,0,542,0.004374,N
21.79,27.1,0,542,0.004374,N
21.79,27.1,0,538,0.004374,N
21.79,27.1,0,537.67,0.004374,N
21.79,27.1,0,537.5,0.004374,N
21.79,27.1,0,536,0.004374,N
21.75,27.1,0,534.5,0.004362,N
21.7,27.1,0,532.5,0.00435,N
21.76,27.1,0,530,0.004366,N
21.75,27.05,0,529.5,0.004354,N
21.79,27.05,0,531,0.004366,N
21.73,27,0,533.33,0.004342,N
21.75,27,0,531,0.004346,N
21.75,27,0,529,0.004346,N
21.75,27,0,528.5,0.004346,N
21.7,27,0,525,0.004334,N
21.7,27,0,528.5,0.004334,N
21.7,27,0,530.5,0.004334,N
21.7,26.89,0,528,0.004316,N
21.7,26.89,0,526,0.004316,N
21.7,26.89,0,530,0.004316,N
21.7,26.89,0,533.33,0.004316,N
21.7,26.89,0,529,0.004316,N
21.7,26.89,0,528,0.004316,N
21.7,26.89,0,526,0.004316,N
21.7,26.89,0,526,0.004316,N
21.7,26.79,0,521,0.0043,N
21.7,26.79,0,518,0.0043,N
21.7,26.79,0,515.5,0.0043,N
21.7,26.79,0,520,0.0043,N
21.7,26.77,0,523.5,0.004296,N
21.7,26.79,0,525.5,0.0043,N
21.7,26.79,0,525.5,0.0043,N
21.7,26.79,0,514,0.0043,N
21.7,26.7,0,518,0.004285,N
21.7,26.7,0,518,0.004285,N
21.7,26.7,0,520,0.004285,N
21.6,26.7,0,521,0.004259,N
21.6,26.6,0,518,0.004243,N
21.6,26.65,0,517,0.004251,N
21.6,26.6,0,511.5,0.004243,N
21.65,26.65,0,514,0.004264,N
21.6,26.55,0,515.5,0.004235,N
21.6,26.5,0,517,0.004227,N
21.6,26.5,0,515,0.004227,N
21.6,26.5,0,512,0.004227,N
21.6,26.5,0,515,0.004227,N
21.65,26.55,0,511,0.004248,N
21.6,26.5,0,514,0.004227,N
21.6,26.45,0,508,0.004218,N
21.6,26.47,0,509.75,0.004222,N
21.6,26.45,0,508.75,0.004218,N
21.6,26.45,0,508.5,0.004218,N
21.6,26.39,0,507,0.004209,N
21.6,26.39,0,507,0.004209,N
21.6,26.39,0,503.5,0.004209,N
21.6,26.39,0,504,0.004209,N
21.6,26.39,0,504,0.004209,N
21.58,26.32,0,500.5,0.004191,N
21.6,26.29,0,500,0.004193,N
21.6,26.29,0,503.5,0.004193,N
21.55,26.25,0,503,0.004173,N
21.55,26.25,0,502.5,0.004173,N
21.5,26.2,0,502,0.004153,N
21.57,26.2,0,502,0.00417,N
21.5,26.2,0,502.5,0.004153,N
21.5,26.2,0,497,0.004153,N
21.5,26.15,0,501.5,0.004145,N
21.5,26.15,0,504,0.004145,N
21.5,26.1,0,501,0.004137,N
21.5,26.1,0,493.75,0.004137,N
21.5,26.1,0,500,0.004137,N
21.5,26.1,0,504.5,0.004137,N
21.5,26.05,0,504,0.004129,N
21.5,26.1,0,501,0.004137,N
21.5,26,0,499,0.004121,N
21.5,26,0,502,0.004121,N
21.5,26,0,503.5,0.004121,N
21.5,26,0,500.67,0.004121,N
21.5,26,0,493,0.004121,N
21.5,26,0,492.5,0.004121,N
21.5,26,0,493,0.004121,N
21.5,25.89,0,495.5,0.004104,N
21.5,26,0,492.67,0.004121,N
21.5,26,0,490,0.004121,N
21.5,25.93,0,493,0.004109,N
21.5,25.89,0,494.67,0.004104,N
21.5,25.89,0,496,0.004104,N
21.5,25.89,0,491,0.004104,N
21.5,25.84,0,490.5,0.004096,N
21.5,25.84,0,490,0.004096,N
21.5,25.89,0,491,0.004104,N
21.5,25.89,0,491.67,0.004104,N
21.5,25.89,0,493.5,0.004104,N
21.47,25.87,0,493.75,0.004093,N
21.5,25.84,0,490,0.004096,N
21.5,25.79,0,488,0.004088,N
21.5,25.79,0,490,0.004088,N
21.5,25.79,0,487,0.004088,N
21.45,25.75,0,492.5,0.004067,N
21.45,25.75,0,493.5,0.004067,N
21.46,25.76,0,493.33,0.004074,N
21.45,25.75,0,488,0.004067,N
21.5,25.79,0,487.5,0.004088,N
21.43,25.73,0,485.33,0.00406,N
21.39,25.7,0,484,0.004046,N
21.39,25.7,0,489,0.004046,N
21.45,25.75,0,488,0.004067,N
21.5,25.79,0,493,0.004088,N
21.39,25.7,0,491,0.004046,N
21.45,25.75,0,488,0.004067,N
21.45,25.75,0,487.25,0.004067,N
21.39,25.7,0,489,0.004046,N
21.5,25.79,0,489,0.004088,N
21.39,25.7,0,486,0.004046,N
21.43,25.73,0,484.67,0.00406,N
21.39,25.7,0,485,0.004046,N
21.39,25.7,0,487,0.004046,N
21.39,25.7,0,492,0.004046,N
21.39,25.7,0,490.67,0.004046,N
21.39,25.7,0,488,0.004046,N
21.39,25.7,0,485.5,0.004046,N
21.39,25.7,0,486,0.004046,N
21.39,25.7,0,485.5,0.004046,N
21.39,25.7,0,486,0.004046,N
21.39,25.7,0,480,0.004046,N
21.39,25.7,0,481,0.004046,N
21.39,25.7,0,481.67,0.004046,N
21.39,25.7,0,485.5,0.004046,N
21.39,25.7,0,485,0.004046,N
21.39,25.7,0,473,0.004046,N
21.39,25.7,0,475,0.004046,N
21.39,25.7,0,486,0.004046,N
21.39,25.7,0,481.5,0.004046,N
21.39,25.7,0,483,0.004046,N
21.39,25.7,0,479,0.004046,N
21.39,25.7,0,479,0.004046,N
21.39,25.7,0,479,0.004046,N
21.34,25.7,0,479,0.004033,N
21.39,25.7,0,479,0.004046,N
21.39,25.7,0,477,0.004046,N
21.39,25.7,0,477.5,0.004046,N
21.29,25.7,0,477.5,0.004021,N
21.34,25.7,0,480,0.004033,N
21.29,25.7,0,480,0.004021,N
21.34,25.7,0,482,0.004033,N
21.32,25.7,0,480.33,0.004029,N
21.34,25.7,0,477.5,0.004033,N
21.29,25.7,0,476,0.004021,N
21.39,25.7,0,479,0.004046,N
21.39,25.7,0,471,0.004046,N
21.29,25.7,0,474,0.004021,N
21.29,25.7,0,477.5,0.004021,N
21.34,25.7,0,476,0.004033,N
21.29,25.7,0,474.25,0.004021,N
21.39,25.7,0,475,0.004046,N
21.29,25.7,0,476.5,0.004021,N
21.34,25.7,0,474.5,0.004033,N
21.29,25.7,0,478,0.004021,N
21.29,25.7,0,475.33,0.004021,N
21.29,25.7,0,477,0.004021,N
21.29,25.7,0,475.5,0.004021,N
21.29,25.7,0,477.5,0.004021,N
21.29,25.7,0,477.5,0.004021,N
21.29,25.7,0,478,0.004021,N
21.29,25.7,0,473.5,0.004021,N
21.29,25.7,0,472.5,0.004021,N
21.29,25.7,0,472,0.004021,N
21.29,25.7,0,469.5,0.004021,N
21.29,25.7,0,466.67,0.004021,N
21.29,25.7,0,467,0.004021,N
21.29,25.7,0,469.5,0.004021,N
21.2,25.6,0,469,0.003983,N
21.29,25.7,0,471,0.004021,N
21.29,25.7,0,469,0.004021,N
21.26,25.67,0,467.33,0.004008,N
21.25,25.65,0,471.5,0.004002,N
21.23,25.63,0,471.67,0.003995,N
21.29,25.7,0,475,0.004021,N
21.2,25.6,0,471,0.003983,N
21.2,25.6,0,471,0.003983,N
21.25,25.65,0,471,0.004002,N
21.25,25.65,0,474.5,0.004002,N
21.2,25.6,0,475.5,0.003983,N
21.2,25.6,0,474,0.003983,N
21.2,25.6,0,469,0.003983,N
21.2,25.6,0,474,0.003983,N
21.2,25.6,0,474,0.003983,N
21.2,25.6,0,468.5,0.003983,N
21.2,25.6,0,469.5,0.003983,N
21.2,25.6,0,472.5,0.003983,N
21.2,25.6,0,467.5,0.003983,N
21.2,25.6,0,469,0.003983,N
21.2,25.55,0,466.5,0.003975,N
21.2,25.5,0,469.5,0.003967,N
21.2,25.5,0,469,0.003967,N
21.2,25.5,0,467,0.003967,N
21.2,25.5,0,467.33,0.003967,N
21.2,25.5,0,467,0.003967,N
21.2,25.5,0,464.5,0.003967,N
21.2,25.45,0,466,0.003959,N
21.2,25.5,0,473,0.003967,N
21.2,25.39,0,475,0.00395,N
21.2,25.39,0,471,0.00395,N
21.2,25.39,0,470,0.00395,N
21.2,25.39,0,466.25,0.00395,N
21.2,25.39,0,467,0.00395,N
21.2,25.39,0,473,0.00395,N
21.2,25.39,0,468,0.00395,N
21.2,25.39,0,463,0.00395,N
21.2,25.39,0,466,0.00395,N
21.2,25.39,0,467,0.00395,N
21.2,25.29,0,468,0.003934,N
21.2,25.39,0,468,0.00395,N
21.2,25.29,0,468,0.003934,N
21.2,25.34,0,465.5,0.003942,N
21.2,25.39,0,464,0.00395,N
21.2,25.34,0,464.5,0.003942,N
21.2,25.29,0,465.67,0.003934,N
21.2,25.37,0,465.75,0.003946,N
21.2,25.39,0,464,0.00395,N
21.2,25.39,0,467,0.00395,N
21.15,25.39,0,466.5,0.003938,N
21.2,25.39,0,465,0.00395,N
21.2,25.39,0,462,0.00395,N
21.2,25.39,0,459.67,0.00395,N
21.2,25.29,0,458,0.003934,N
21.2,25.34,0,462.5,0.003942,N
21.2,25.29,0,467,0.003934,N
21.2,25.29,0,466.5,0.003934,N
21.2,25.29,0,463,0.003934,N
21.2,25.29,0,465,0.003934,N
21.2,25.29,0,463.25,0.003934,N
21.2,25.29,0,460,0.003934,N
21.2,25.29,0,457,0.003934,N
21.2,25.29,0,456,0.003934,N
21.25,25.25,0,454,0.003938,N
21.23,25.23,0,454,0.003932,N
21.29,25.29,0,458,0.003956,N
21.2,25.2,0,456,0.00392,N
21.25,25.25,0,456.5,0.003938,N
21.25,25.25,0,458.5,0.003938,N
21.26,25.26,0,459.67,0.003944,N
21.25,25.25,0,464,0.003938,N
21.25,25.2,0,465,0.003931,N
21.29,25.2,0,461,0.003942,N
21.25,25.2,0,458.5,0.003931,N
21.29,25.2,0,459,0.003942,N
21.29,25.2,0,451,0.003942,N
21.29,25.2,0,456,0.003942,N
21.29,25.2,0,463,0.003942,N
21.29,25.2,0,461.67,0.003942,N
21.29,25.2,0,458,0.003942,N
21.29,25.2,0,450,0.003942,N
21.29,25.2,0,457,0.003942,N
21.29,25.2,0,456,0.003942,N
21.29,25.2,0,456,0.003942,N
21.29,25.2,0,461,0.003942,N
21.29,25.2,0,463,0.003942,N
21.29,25.2,0,460,0.003942,N
21.29,25.2,0,456,0.003942,N
21.29,25.2,0,454.5,0.003942,N
21.29,25.2,0,448.5,0.003942,N
21.29,25.2,0,453.5,0.003942,N
21.29,25.2,0,454,0.003942,N
21.29,25.2,0,454,0.003942,N
21.29,25.25,0,450.5,0.003949,N
21.29,25.25,0,453,0.003949,N
21.2,25.2,0,457,0.00392,N
21.2,25.2,0,452.5,0.00392,N
21.2,25.2,0,449,0.00392,N
21.2,25.2,0,458.67,0.00392,N
21.2,25.2,0,454.5,0.00392,N
21.2,25.25,0,455.5,0.003927,N
21.2,25.25,0,453.5,0.003927,N
21.2,25.29,0,452,0.003934,N
21.2,25.29,0,451.5,0.003934,N
21.2,25.29,0,451,0.003934,N
21.17,25.36,0,450.33,0.003937,N
21.17,25.39,0,450,0.003942,N
21.15,25.39,0,453.5,0.003938,N
21.1,25.39,0,454,0.003926,N
21.15,25.39,0,452.5,0.003938,N
21.1,25.39,0,454,0.003926,N
21.1,25.39,0,457,0.003926,N
21.1,25.46,0,450.33,0.003937,N
21.1,25.5,0,451,0.003943,N
21.1,25.5,0,451,0.003943,N
21.05,25.45,0,449,0.003922,N
21.1,25.5,0,449,0.003943,N
21.05,25.45,0,450,0.003922,N
21.05,25.45,0,449,0.003922,N
21.1,25.5,0,445,0.003943,N
21,25.39,0,443,0.003901,N
21.1,25.5,0,446.5,0.003943,N
21.1,25.5,0,446,0.003943,N
21.1,25.5,0,451.5,0.003943,N
21.1,25.39,0,445,0.003926,N
21.1,25.39,0,449,0.003926,N
21.1,25.39,0,451.67,0.003926,N
21.1,25.39,0,452,0.003926,N
21.1,25.39,0,451,0.003926,N
21.05,25.34,0,450,0.003906,N
21.1,25.39,0,450,0.003926,N
21.1,25.39,0,448,0.003926,N
21.1,25.39,0,450.67,0.003926,N
21.1,25.39,0,450,0.003926,N
21.15,25.39,0,446,0.003938,N
21.1,25.39,0,444,0.003926,N
21.13,25.39,0,447.5,0.003932,N
21.13,25.39,0,443.33,0.003934,N
21.1,25.34,0,443.5,0.003918,N
21.1,25.34,0,444,0.003918,N
21.15,25.34,0,449,0.00393,N
21.2,25.29,0,449.33,0.003934,N
21.15,25.29,0,448,0.003922,N
21.15,25.25,0,449.5,0.003915,N
21.2,25.25,0,450,0.003927,N
21.2,25.2,0,447,0.00392,N
21.2,25.2,0,446,0.00392,N
21.13,25.2,0,443,0.003904,N
21.17,25.2,0,444,0.003912,N
21.2,25.2,0,444.5,0.00392,N
21.2,25.2,0,445,0.00392,N
21.2,25.2,0,451,0.00392,N
21.2,25.2,0,450,0.00392,N
21.2,25.2,0,444,0.00392,N
21.2,25.2,0,443,0.00392,N
21.2,25.1,0,438.5,0.003905,N
21.2,25.1,0,441,0.003905,N
21.2,25.1,0,444,0.003905,N
21.2,25.15,0,441.5,0.003912,N
21.2,25.1,0,441,0.003905,N
21.2,25.1,0,439.5,0.003905,N
21.2,25.1,0,441,0.003905,N
21.2,25.1,0,442,0.003905,N
21.2,25.1,0,441,0.003905,N
21.2,25.1,0,436,0.003905,N
21.2,25.1,0,442.5,0.003905,N
21.2,25.1,0,446,0.003905,N
21.2,25.1,0,443,0.003905,N
21.2,25.1,0,437.5,0.003905,N
21.2,25.1,0,440.5,0.003905,N
21.2,25.05,0,439.5,0.003897,N
21.2,25,0,443,0.003889,N
21.2,25,0,443,0.003889,N
21.2,25,0,438.5,0.003889,N
21.2,25,0,438,0.003889,N
21.2,25,0,442.33,0.003889,N
21.2,25,0,448,0.003889,N
21.2,25.1,0,447.5,0.003905,N
21.13,25.1,0,445.75,0.003887,N
21.1,25,0,439,0.003865,N
21.1,25.1,0,440,0.003881,N
21.1,25.1,0,441.5,0.003881,N
21.1,25.07,0,439,0.003875,N
21.1,25,0,439,0.003865,N
21.1,25.1,0,437.5,0.003881,N
21.05,25.05,0,437.5,0.003861,N
21.1,25.1,0,439.33,0.003881,N
21.1,25.1,0,443,0.003881,N
21,25,0,440.5,0.003841,N
21,25,0,442.33,0.003841,N
21,25,0,440.67,0.003841,N
21,25,0,440,0.003841,N
21,25,0,439,0.003841,N
21,25,0,442,0.003841,N
21,25,0,443.5,0.003841,N
21,25,0,445,0.003841,N
21,25,0,445,0.003841,N
21,25.05,0,442.5,0.003849,N
21,25.1,0,440,0.003857,N
21,25,0,439.5,0.003841,N
21,25,0,438.5,0.003841,N
21,25,0,435,0.003841,N
21,25,0,439.5,0.003841,N
21,25,0,440.5,0.003841,N
21,25,0,439.5,0.003841,N
21,25,0,441,0.003841,N
21,25,0,442,0.003841,N
21,25,0,445,0.003841,N
21,25,0,444,0.003841,N
21,25,0,445,0.003841,N
21,24.89,0,444,0.003824,N
21,24.89,0,443,0.003824,N
21,24.89,0,448,0.003824,N
21.05,24.95,0,443,0.003844,N
21.05,24.95,0,440,0.003844,N
21,24.89,0,440,0.003824,N
21.03,24.93,0,441,0.003838,N
21.05,24.95,0,440.5,0.003844,N
21.05,24.95,0,444.5,0.003844,N
21.1,25,0,446,0.003865,N
21.05,24.95,0,442.5,0.003844,N
21,24.89,0,439,0.003824,N
21.1,24.89,0,441,0.003848,N
21.1,24.89,0,438.33,0.003848,N
21.03,24.89,0,439.5,0.003832,N
21.08,24.97,0,440.75,0.003855,N
21.03,24.93,0,437,0.003838,N
21.1,24.95,0,440.5,0.003856,N
21.1,24.92,0,442.25,0.003852,N
21.1,24.89,0,435,0.003848,N
21.1,24.89,0,435.5,0.003848,N
21.1,24.89,0,432,0.003848,N
21.1,24.89,0,439.5,0.003848,N
21.05,24.84,0,442.5,0.003828,N
21.1,24.89,0,438.5,0.003848,N
21.05,24.84,0,435.5,0.003828,N
21.07,24.86,0,437.33,0.003835,N
21.1,24.89,0,437,0.003848,N
21.03,24.82,0,438,0.003822,N
21.03,24.84,0,435,0.003822,N
21,24.79,0,440,0.003809,N
21,24.82,0,441.33,0.003814,N
21,24.86,0,435,0.003819,N
21,24.89,0,432,0.003824,N
21,24.89,0,435.5,0.003824,N
21,24.89,0,444,0.003824,N
21,24.84,0,444.5,0.003816,N
21,24.89,0,446,0.003824,N
21,24.89,0,445,0.003824,N
21,24.89,0,438.33,0.003824,N
21,24.89,0,445.5,0.003824,N
21,24.89,0,439,0.003824,N
21,24.89,0,439,0.003824,N
20.95,24.89,0,439.5,0.003811,N
20.96,24.89,0,443.33,0.003815,N
20.89,24.89,0,443.5,0.003798,N
20.93,24.89,0,444,0.003807,N
21,24.89,0,447.5,0.003824,N
20.89,24.89,0,445.5,0.003798,N
20.89,24.89,0,443,0.003798,N
20.89,24.89,0,438,0.003798,N
20.89,24.89,0,428,0.003798,N
20.89,24.89,0,431,0.003798,N
20.89,24.89,0,441,0.003798,N
20.89,24.89,0,446,0.003798,N
20.89,24.89,0,447,0.003798,N
20.89,24.89,0,439,0.003798,N
20.89,24.89,0,438.33,0.003798,N
20.89,24.89,0,442,0.003798,N
20.93,24.79,0,443.33,0.003791,N
20.89,24.79,0,448,0.003783,N
20.89,24.79,0,444.5,0.003783,N
20.93,24.79,0,443.33,0.003791,N
20.95,24.79,0,445,0.003796,N
21,24.7,0,445,0.003795,N
21,24.7,0,443.5,0.003795,N
21,24.7,0,439,0.003795,N
21,24.7,0,441.5,0.003795,N
21,24.63,0,441.33,0.003784,N
21,24.6,0,441,0.003779,N
21,24.6,0,441,0.003779,N
21,24.6,0,440,0.003779,N
21,24.6,0,436,0.003779,N
21,24.6,0,444,0.003779,N
21,24.6,0,442,0.003779,N
21,24.6,0,443.67,0.003779,N
21,24.6,0,439.5,0.003779,N
21,24.57,0,439.33,0.003774,N
21,24.55,0,443.5,0.003772,N
21,24.5,0,445,0.003764,N
21,24.5,0,441.5,0.003764,N
21,24.5,0,445,0.003764,N
21,24.5,0,444.5,0.003764,N
21,24.5,0,443.67,0.003764,N
21,24.5,0,445.5,0.003764,N
21,24.45,0,445,0.003755,N
21,24.45,0,443.5,0.003755,N
21,24.39,0,447,0.003747,N
21,24.39,0,444,0.003747,N
21,24.5,0,442.5,0.003764,N
21,24.43,0,445,0.003753,N
21,24.5,0,444,0.003764,N
21,24.39,0,440,0.003747,N
21,24.39,0,445.5,0.003747,N
21,24.39,0,444.5,0.003747,N
21,24.39,0,442.5,0.003747,N
21,24.39,0,444,0.003747,N
21,24.39,0,442,0.003747,N
21,24.36,0,442.67,0.003742,N
21,24.29,0,439,0.003731,N
20.89,24.39,0,440,0.003721,N
20.95,24.39,0,440,0.003734,N
21,24.39,0,444,0.003747,N
20.89,24.39,0,439.5,0.003721,N
20.89,24.39,0,440,0.003721,N
20.89,24.39,0,440,0.003721,N
20.89,24.29,0,442,0.003706,N
20.89,24.34,0,445,0.003714,N
20.86,24.36,0,447,0.003709,N
20.89,24.39,0,446,0.003721,N
20.89,24.34,0,445,0.003714,N
20.89,24.39,0,445,0.003721,N
20.89,24.29,0,443,0.003706,N
20.89,24.29,0,442,0.003706,N
20.84,24.25,0,444,0.003688,N
20.89,24.39,0,443.5,0.003721,N
20.89,24.29,0,441,0.003706,N
20.86,24.26,0,441,0.003694,N
20.89,24.29,0,444,0.003706,N
20.89,24.29,0,445.5,0.003706,N
20.89,24.29,0,441,0.003706,N
20.89,24.29,0,445.33,0.003706,N
20.89,24.2,0,442,0.003692,N
20.89,24.29,0,442,0.003706,N
20.89,24.2,0,446.5,0.003692,N
20.86,24.17,0,444.33,0.00368,N
20.89,24.2,0,445.5,0.003692,N
20.89,24.2,0,441.5,0.003692,N
20.87,24.18,0,447.25,0.003683,N
20.89,24.2,0,448,0.003692,N
20.89,24.18,0,447.25,0.003688,N
20.89,24.2,0,439,0.003692,N
20.89,24.15,0,440,0.003685,N
20.89,24.2,0,440,0.003692,N
20.89,24.1,0,445,0.003677,N
20.89,24,0,438,0.003662,N
20.95,24,0,438.5,0.003674,N
21,24,0,440,0.003687,N
20.95,24,0,446,0.003674,N
20.95,24,0,447,0.003674,N
20.93,24,0,447,0.00367,N
20.89,24,0,445,0.003662,N
20.89,24,0,446.5,0.003662,N
20.95,24,0,446,0.003674,N
20.89,23.89,0,453,0.003645,N
21,23.89,0,451,0.00367,N
21,23.84,0,448.5,0.003662,N
21,23.82,0,444.67,0.003659,N
21,23.79,0,447,0.003654,N
21,23.79,0,447,0.003654,N
21,23.79,0,445,0.003654,N
21,23.79,0,446.5,0.003654,N
21,23.79,0,446.5,0.003654,N
21,23.77,0,442.25,0.003651,N
21,23.79,0,443,0.003654,N
21,23.79,0,443,0.003654,N
20.96,23.79,0,442.33,0.003646,N
20.89,23.79,0,444.5,0.003629,N
20.89,23.73,0,443.33,0.00362,N
20.92,23.72,0,446.5,0.003625,N
20.89,23.7,0,449,0.003616,N
20.89,23.7,0,449.5,0.003616,N
20.89,23.6,0,448.5,0.0036,N
20.89,23.7,0,446,0.003616,N
20.89,23.6,0,446,0.0036,N
20.89,23.6,0,444,0.0036,N
20.89,23.6,0,443.33,0.0036,N
20.89,23.63,0,441.67,0.003605,N
20.89,23.6,0,449.5,0.0036,N
20.89,23.6,0,448.5,0.0036,N
20.89,23.6,0,450,0.0036,N
20.89,23.6,0,448.5,0.0036,N
20.95,23.6,0,446.5,0.003612,N
20.89,23.6,0,452.5,0.0036,N
20.89,23.6,0,451,0.0036,N
20.95,23.5,0,450.67,0.003597,N
20.89,23.5,0,449,0.003585,N
20.95,23.5,0,449,0.003597,N
20.95,23.5,0,448.5,0.003597,N
20.89,23.5,0,452,0.003585,N
20.89,23.5,0,444,0.003585,N
20.89,23.5,0,443.5,0.003585,N
20.89,23.5,0,446,0.003585,N
20.89,23.5,0,449,0.003585,N
20.93,23.5,0,448,0.003593,N
20.89,23.5,0,448,0.003585,N
20.89,23.5,0,449,0.003585,N
20.95,23.5,0,443,0.003597,N
20.89,23.5,0,444.25,0.003585,N
20.89,23.5,0,445.33,0.003585,N
20.89,23.5,0,444.5,0.003585,N
20.89,23.5,0,446.5,0.003585,N
20.89,23.45,0,446,0.003576,N
20.89,23.45,0,448.5,0.003576,N
20.89,23.39,0,450,0.003568,N
20.89,23.45,0,450.5,0.003576,N
20.89,23.5,0,448,0.003585,N
20.89,23.5,0,448.33,0.003585,N
20.89,23.45,0,446.5,0.003576,N
